Date,Client,Type of Issue,Issue Details,Origin,JIRA Ticket,Status,Severity,Summary,Screenshot Links,URL,Root Cause - Initial,Root Cause - Final,Resolution,Errored,Who Owns the Fix,Test Type,,,,,,
11/20/2025,MLY,Convert Configuration,"Inaccurate Site Area selected, resulting in no traffic entering the test.",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-124,Resolved,Critical,No visitors being bucketed into test,N/A,N/A,CRO Code / Configuration Error,CRO Code / Configuration Error,Site Area updated to match client's current specifications. From Local Homepage - Prod to [Wave + Opus] Local Homepages - Prod.,Live,CRO Dev,,,,,,,
11/20/2025,MRE,Convert Configuration,"Inaccurate Site Area selected, resulting in the test running on the Lead Flow when it should not have.",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-103,Resolved,Critical,Lead Flow included in test when it should not have been,N/A,N/A,CRO Code / Configuration Error,CRO Code / Configuration Error,Site Area updated to match test's needs. From Sitewide to Sitewide [Excluding Lead Flow].,Live,CRO Dev,,,,,,,
11/25/2025,MRA,CRO - Frontend Issue,The Figma design showed a CTA with 4px border radius while the rest of the CTAs on the page use .5rem border radius.,CRO - Design,https://fusion92.atlassian.net/browse/NBLYCRO-123,Resolved,Low,Section was designed with unmatching CTA styling from the rest of the site,N/A,N/A,Missing / Miscommunicated Info,Process / QA Gap,Button updated to match the rest of the existing CTA styling for congruency ,QA,CRO Dev,,,,,,,
11/25/2025,ASV,Client - Data/Source File Issue,Images provided by client are low quality and grainy in the experience. Design does not have access to brand folders with high res images- resulting in extra time spent digging for and requesting assets.,Client,https://fusion92.atlassian.net/browse/NBLYCRO-101,Resolved,Medium,Low quality images provided for assets,N/A,N/A,Unknown / Needs Investigation,Missing / Miscommunicated Info,Use higher resolution images,QA,Client,,,,,,,
11/25/2025,MLY,Client - Data/Source File Issue,Images provided by client are low quality and grainy in the experience. Design does not have access to brand folders with high res images - resulting in extra time spent digging for and requesting assets.,Client,https://fusion92.atlassian.net/browse/NBLYCRO-144,Resolved,Medium,Low quality images provided for assets,N/A,N/A,Unknown / Needs Investigation,Missing / Miscommunicated Info,Use higher resolution images,QA,Client,,,,,,,
12/1/2025,SHG,Convert Configuration,"Client stated ""the banner may have been broken in a release, and needs to be restored""",CRO,https://fusion92.atlassian.net/browse/NBLYCRO-83,Resolved,Low,Site Area excluded pages that were 'ca' countryCode or if the page didn't have a countryCode. ,N/A,N/A,CRO Code / Configuration Error,CRO Code / Configuration Error,Adjusted to include pages that do not have a countryCode set (this allowed for the National Homepage to come through),Done,CRO Dev,,,,,,,
12/2/2025,MRE,Client - Frontend Issue,"Client stated ""We don't need to have the location on the offer"".",Client,https://fusion92.atlassian.net/browse/NBLYCRO-179,Resolved,Low,The design reference for 2 previous tests showed the location name in the offer. Devs followed the reference image correctly.,N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Experiment sent back to development for adjustments to remove the location name from the offer.,Client Review,VN Team,,,,,,,
12/2/2025,MRH,CRO - Frontend Issue,"Client caught typo of ""My Handyman"" instead of ""Mr Handyman""",CRO - Design,https://fusion92.atlassian.net/browse/NBLYCRO-125,Resolved,Low,Figma typo that leaked into devleopment and Client Review.,N/A,N/A,Process / QA Gap,Process / QA Gap,Experiment sent back to development for resolving the typo.,Client Review,VN Team,,,,,,,
12/2/2025,MRE,CRO - Frontend Issue,Missing elements from design,VN Team,https://fusion92.atlassian.net/browse/NBLYCRO-136,Resolved,Medium,"Required element (checkbox) missing, expectation of passing data through missing, mild visual discrepencies",N/A,N/A,Data / Mapping Issue,CRO Code / Configuration Error,"Sending back to development for adjustments to the scrolling form, footer form and misc visual elements",QA,VN Team,,,,,,,
12/2/2025,MRA,Client - Frontend Issue,"Client stated ""We don't need to have the location on the offer"".",Client,https://fusion92.atlassian.net/browse/NBLYCRO-122,Resolved,Low,The design reference for 2 previous tests showed the location name in the offer. Devs followed the reference image correctly.,N/A,N/A,Missing / Miscommunicated Info,Missing / Miscommunicated Info,Experiment sent back to development for adjustments to remove the location name from the offer.,Client Review,VN Team,,,,,,,
